Repo,no of cbl,no of cpy
abrignoli_COBSOFT,45,72
Apress_cobol-VB-on-.net,8,0
azac_cobol-on-wheelchair,5,0
bhbandam_AZ-Legacy-Engineering,21,0
bmcsoftware_vscode-ispw,35,23
brazilofmux_gnucobol,14,0
cicsdev_cics-async-api-credit-card-application-example,10,0
cicsdev_cics-async-api-redbooks,5,0
cicsdev_cics-java-liberty-app-deployment,1,0
cicsdev_cics-java-recgen,2,0
cloudflare_cobol-worker,1,0
cloudflare_cobweb,4,3
codetojoy_WarO_COBOL,9,0
dasta400_mainframeadventures,4,0
dbaudisch_did-zorch-cancel-movienight,1,0
debinix_openjensen,29,3
debinix_pbs,10,2
DGFIPTools_Calculer-Moyenne-Cobol,2,0
dinodev76_COB-FAKER,10,13
DoHITB_CryptoCobol,11,12
edge05_MortgageApplication2,6,6
etalab_taxe-fonciere,6,17
federico-priolo_GuiCOBOL,5,2
fortesit_Game-of-Life,1,0
gaessaki_COBOLCalc,4,0
GaloisGirl_Coding,39,0
gbeine_COBOLUnit,48,0
GITSALAHE_COBOL,1,0
gnaresh2328_sonarqube,1,3
harshiljethava_IBM-mainframe,4,0
heddwch_WOPO,10,0
IBM_cobol-is-fun,2,0
IBM_datastage-standalone-workshop,1,0
IBM_example-health-apis,29,9
IBM_idz-utilities,5,9
IBM_zOS-Client-Web-Enablement-Toolkit,1,0
ibmdbbdev_Samples,17,6
imsdev_ims-java-jee-tm,1,1
IonicaBizau_node.cobol,3,0
jehna_cobol-testing,1,0
ktsmy_aws-lambda-cobol-sample,4,0
laserviking_cob-qalq,1,0
laserviking_cob-simpleinventory,1,0
laserviking_cob-todo,1,0
lauryndbrown_Cisp,6,0
lewisjb_snek,1,0
lucasrmagalhaes_learning-COBOL,42,0
MarcoDSilva_Learning_Cobol,10,0
Martinfx_Cobol,28,0
martinluc_Cobol_spreadSheet,2,0
MayCXC_COWOL,4,0
mikebharris_BAMS,7,2
mikebharris_COBOL-brainfuck,1,0
navikt_DSF,7,1
neopragma_cobol-unit-test,24,0
OlegKunitsyn_ecblunit,2,0
OlegKunitsyn_gcblunit,3,1
OlegKunitsyn_gnucobol-examples,4,0
opensourcecobol_opensource-cobol-devel,3,0
owainkenwayucl_cobol-rand,2,0
phe-sto_CoBOL-GraalVM,4,0
psywave-games_pong-cobol,1,0
rflejeune_GeekCode,1,1
rightfold_asdf,8,1
rightfold_cobmud,2,1
romankh3_cobol-code-example,2,0
scottieinor_simple-calc-langs,1,0
seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,20,2
SebastianRzk_gradle-cobol-plugin-unittest-extension,1,0
shamrice_COBOL-Guest-Book-Webapp,3,0
shamrice_COBOL-Roguelike,17,25
shamrice_COBOL-RSS-Reader,19,19
ShaunLawrie_TicTacTOBOL,1,0
thinkinglabs_cobol-fizzbuzz-kata,3,0
thospfuller_rcoboldi,20,0
tylerbro93_COBOL-MERGE-AND-SORTED-WAREHOUSE-INVENTORY-SALES,1,0
tylerbro93_COBOL-SALES-INVENTORY-REPORT-DEMONSTRATION,1,0
vaelen_cobol,4,0
ve3wwg_cobcurses,86,0
walmartlabs_zECS,6,2
wynro_sistemas-legados_practica-1,5,2
z390development_z390,78,0
zosconnect_zosconnect-sample-cobol-apirequester,2,6
zosconnect_zosconnect-sample-wola-batch,1,2